timestamp,serverName,type,activeConnections,requests,responseTimeMs,cpu,ram,diskRead,diskWrite,netIn,netOut,errors4xx,errors5xx,busyWorkers,idleWorkers,reqPerSec,bytesPerSec
1774167297315,apache-c7e3a469,apache,1,0,0,0.004887780548628429,0.6760360943960565,0.0,0.0,1950.0,126.0,0,0,1,74,0.126582,142.582
1774167299319,nginx-787d7175,nginx,1,0,0,0.0,0.5385818323523607,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167301346,apache-2b810618,apache,1,0,0,0.010845771144278607,0.17986467131932812,0.0,0.0,1196.0,126.0,0,0,1,74,0.121951,137.366
1774167303365,apache-c7e3a469,apache,1,0,0,0.00947630922693267,0.6844372017227331,0.0,0.0,1950.0,126.0,0,0,1,74,0.129412,144.565
1774167305367,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167307379,apache-2b810618,apache,1,0,0,0.009748743718592965,0.1811805074066389,0.0,0.0,1196.0,126.0,0,0,1,74,0.125,139.636
1774167309402,apache-c7e3a469,apache,1,0,0,0.013266832917705737,0.6796799481763017,0.0,0.0,1950.0,126.0,0,0,1,74,0.131868,146.286
1774167311407,nginx-787d7175,nginx,1,0,0,0.0,0.5387842686734854,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167313421,apache-2b810618,apache,1,0,0,0.006069651741293532,0.18188903453057548,0.0,0.0,1196.0,126.0,0,0,1,74,0.12766,141.617
1774167315437,apache-c7e3a469,apache,1,0,0,0.0052,0.6808945661030502,0.0,0.0,1950.0,126.0,0,0,1,74,0.134021,147.794
1774167317434,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167319451,apache-2b810618,apache,1,0,0,0.010396039603960397,0.18229390717282495,0.0,0.0,1196.0,126.0,0,0,1,74,0.13,143.36
1774167321492,apache-c7e3a469,apache,1,0,0,0.0191044776119403,0.682210402190361,0.0,0.0,1950.0,126.0,0,0,1,74,0.135922,149.126
1774167323486,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167325492,apache-2b810618,apache,1,0,0,0.0114,0.18259756165451205,0.0,0.0,1196.0,126.0,0,0,1,74,0.132075,144.906
1774167327514,apache-c7e3a469,apache,1,0,0,0.011870324189526184,0.683323801956547,0.0,0.0,1950.0,126.0,0,0,1,74,0.137615,150.312
1774167329518,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167331539,apache-2b810618,apache,1,0,0,0.013233830845771143,0.18310365245732388,0.0,0.0,1196.0,126.0,0,0,1,74,0.133929,146.286
1774167333561,apache-c7e3a469,apache,1,0,0,0.010972568578553615,0.6846396380438579,0.0,0.0,1950.0,126.0,0,0,1,74,0.13913,160.278
1774167335565,nginx-787d7175,nginx,1,0,0,0.0,0.5388854868340478,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167337579,apache-2b810618,apache,1,0,0,0.011428571428571429,0.183407306939011,0.0,0.0,1196.0,126.0,0,0,1,74,0.135593,156.203
1774167339601,apache-c7e3a469,apache,1,0,0,0.005148514851485149,0.6857530378100438,0.0,0.0,1950.0,126.0,0,0,1,74,0.140496,160.793
1774167341607,nginx-787d7175,nginx,1,0,0,0.0,0.5387842686734854,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167343616,apache-2b810618,apache,1,0,0,0.004875621890547264,0.18391339774182283,0.0,0.0,1196.0,126.0,0,0,1,74,0.137097,156.903
1774167345639,apache-c7e3a469,apache,1,0,0,0.0088,0.6867652194156675,0.0,0.0,1950.0,126.0,0,0,1,74,0.141732,161.26
1774167347640,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167349652,apache-2b810618,apache,1,0,0,0.004378109452736319,0.18421705222350995,0.0,0.0,1196.0,126.0,0,0,1,74,0.138462,157.538
1774167351687,apache-c7e3a469,apache,1,0,0,0.004278606965174129,0.6880810555029784,0.0,0.0,1950.0,126.0,0,0,1,74,0.142857,161.684
1774167353686,nginx-787d7175,nginx,1,0,0,0.0,0.5387842686734854,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167355691,apache-2b810618,apache,1,0,0,0.004488778054862843,0.18472314302632178,0.0,0.0,1196.0,126.0,0,0,1,74,0.139706,158.118
1774167357714,apache-c7e3a469,apache,1,0,0,0.005208333333333334,0.6881822736635407,0.0,0.0,1950.0,126.0,0,0,1,74,0.143885,162.072
1774167359708,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167361765,apache-2b810618,apache,1,0,0,0.0046,0.18522923382913364,0.0,0.0,1196.0,126.0,0,0,1,74,0.140845,158.648
1774167363792,apache-c7e3a469,apache,1,0,0,0.003970223325062035,0.6887895826269149,0.0,0.0,1950.0,126.0,0,0,1,74,0.144828,162.428
1774167365786,nginx-787d7175,nginx,1,0,0,0.0,0.5389867049946101,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167367795,apache-2b810618,apache,1,0,0,0.011515151515151515,0.18553288831082074,0.0,0.0,1196.0,126.0,0,0,1,74,0.141892,159.135
1774167369825,apache-c7e3a469,apache,1,0,0,0.008678304239401496,0.6897005460719762,0.0,0.0,1950.0,126.0,0,0,1,74,0.145695,162.755
1774167371827,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167373834,apache-2b810618,apache,1,0,0,0.004975124378109453,0.18603897911363257,0.0,0.0,1196.0,126.0,0,0,1,74,0.142857,159.584
1774167375860,apache-c7e3a469,apache,1,0,0,0.0055000000000000005,0.6924334364071602,0.0,0.0,1950.0,126.0,0,0,1,74,0.14557,168.506
1774167377847,nginx-787d7175,nginx,1,0,0,0.0,0.5391891413157349,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167379865,apache-2b810618,apache,1,0,0,0.003681592039800995,0.18836699680656704,0.0,0.0,1196.0,126.0,0,0,1,74,0.14375,166.4
